species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,n/a,16.7,212,99999,
Adelie,Torgersen,,17.6,188,4238,female
Chinstrap,Torgersen,,,191,,na
Gentoo,Torgersen,,,,unknown,female
Chinstrap,Dream,45.1,16.1,,5047,MALE
Gentoo,Dream,40.5,,,3562,FEMALE
Adelie,Dream,n/a,16.9,,3646,male
Chinstrap,Dream,42.0,18.9,222,,MALE
adelie,Dream,,,,99999,
Gentoo,Torgersen,,17.8,186,,FEMALE
Gentoo,Biscoe,n/a,15.6,175,5613,MALE
adelie,Dream,38.4,17.4,,unknown,female
adelie,torgerSen,,14.9,,99999,female
ADELIE,Dream,,,,99999,female
ADELIE,torgerSen,44.4,16.4,185,99999,
Chinstrap,torgerSen,56.7,,,,na
Gentoo,Torgersen,37.5,,,unknown,male
Gentoo,torgerSen,,,177,unknown,na
Chinstrap,Torgersen,n/a,18.4,228,unknown,female
ADELIE,Torgersen,n/a,,197,5182,MALE
Gentoo,Biscoe,44.2,19.3,,3502,male
adelie,Torgersen,,14.6,,,na
Chinstrap,Dream,,17.6,,99999,
Gentoo,torgerSen,n/a,,,,male
Chinstrap,Biscoe,44.2,,220,99999,na
Chinstrap,Torgersen,37.9,19.1,201,4923,male
Gentoo,Torgersen,,,,,female
ADELIE,Biscoe,,18.5,,,female
Adelie,Torgersen,,,,,FEMALE
Adelie,Torgersen,41.9,,,unknown,male
Chinstrap,Biscoe,,,180,,female
Gentoo,torgerSen,,16.3,,4306,male
ADELIE,Torgersen,51.4,16.4,210,,FEMALE
adelie,Biscoe,,16.5,178,,male
adelie,Dream,,,,,female
Chinstrap,Dream,,17.8,,4495,
Gentoo,Torgersen,40.3,,,99999,male
ADELIE,Torgersen,,16.9,,5999,
Chinstrap,torgerSen,45.5,16.1,,5267,na
Adelie,torgerSen,n/a,,171,unknown,female
Gentoo,torgerSen,,,,unknown,male
Adelie,torgerSen,50.7,18.5,,99999,na
Gentoo,Biscoe,n/a,19.8,221,unknown,MALE
Chinstrap,torgerSen,n/a,16.2,,unknown,
Adelie,Biscoe,n/a,14.6,185,99999,MALE
Gentoo,Biscoe,n/a,18.7,,unknown,na
adelie,Dream,37.2,17.1,,,MALE
Adelie,Torgersen,n/a,15.2,,unknown,female
adelie,torgerSen,47.4,18.9,226,99999,na
Adelie,Dream,,,211,4634,MALE
Gentoo,Torgersen,n/a,16.0,,99999,
Adelie,Dream,,17.2,170,99999,female
adelie,Torgersen,,,,99999,MALE
Chinstrap,Torgersen,,14.9,,99999,female
adelie,Dream,n/a,19.1,202,3627,
Chinstrap,torgerSen,n/a,,204,unknown,MALE
ADELIE,torgerSen,n/a,14.8,171,unknown,female
ADELIE,Dream,45.8,17.0,,,MALE
Gentoo,torgerSen,45.0,,,99999,MALE
Adelie,torgerSen,49.8,17.8,,,male
Gentoo,Dream,40.7,,,unknown,
adelie,Dream,,,,99999,female
adelie,torgerSen,,,,5074,MALE
Gentoo,Biscoe,,,,,FEMALE
Chinstrap,torgerSen,,16.9,,unknown,male
Chinstrap,Dream,,17.8,186,4243,male
Chinstrap,torgerSen,36.1,,,99999,
adelie,torgerSen,,13.1,200,3699,male
adelie,Biscoe,,,190,99999,male
adelie,Biscoe,,,,,na
adelie,Biscoe,,,,99999,
Gentoo,torgerSen,,,,5537,
Gentoo,Biscoe,n/a,,,3245,female
Chinstrap,Biscoe,,15.1,,99999,male
adelie,torgerSen,n/a,,,5875,female
adelie,torgerSen,47.6,,,3019,MALE
Gentoo,torgerSen,,19.0,,99999,MALE
adelie,torgerSen,43.4,,,,
Chinstrap,torgerSen,,15.6,,3574,male
adelie,Biscoe,,18.2,211,unknown,FEMALE
Gentoo,Biscoe,,,,,MALE
adelie,Dream,41.4,,174,4126,MALE
Chinstrap,Torgersen,56.9,20.7,224,99999,male
ADELIE,Biscoe,,17.4,,3119,na
Chinstrap,torgerSen,n/a,,224,4369,female
Gentoo,Torgersen,47.5,,,,FEMALE
Chinstrap,Torgersen,,16.4,,unknown,
ADELIE,Torgersen,53.8,,,,
Gentoo,Torgersen,n/a,19.1,,,male
adelie,Dream,,15.6,,99999,
ADELIE,Dream,,,,unknown,MALE
Chinstrap,Torgersen,n/a,,208,,na
ADELIE,torgerSen,n/a,14.5,,unknown,female
adelie,Biscoe,n/a,,,unknown,na
Gentoo,Torgersen,,18.5,225,,FEMALE
ADELIE,Biscoe,,,,4782,male
Gentoo,Biscoe,,18.1,,unknown,FEMALE
ADELIE,Dream,,,,,MALE
Gentoo,Dream,,17.9,,99999,MALE
Adelie,Biscoe,,15.8,,,MALE
ADELIE,Dream,49.4,16.1,,99999,MALE
Chinstrap,Dream,44.9,13.6,,4649,male
ADELIE,Dream,,,205,3728,na
Gentoo,torgerSen,,,,99999,male
Gentoo,torgerSen,48.7,18.2,,,male
ADELIE,Torgersen,,14.6,,unknown,male
Chinstrap,Torgersen,,16.6,,,FEMALE
adelie,Dream,,,,4296,na
Adelie,Biscoe,,,,4365,female
Chinstrap,Biscoe,42.1,16.4,205,,FEMALE
